Title,Description,List,Due Date,Priority,Labels
"Teste das 6 páginas de equipes","Abrir cada equipe, inspecionar código para encontrar coordenadas, verificar que são únicas","DIA 3: Testes e Documentação",,High,"Teste,QA"
"Teste das 3 bibliotecas de duplas","Abrir dupla1, dupla2, dupla3. Clicar em cada autor. Confirmar que só 1 por dupla abre Instagram","DIA 3: Testes e Documentação",,High,"Teste,QA"
"Teste do notebook final","Testar frase correta (maiúsculas, acentos), frases erradas, efeito confete","DIA 3: Testes e Documentação",,High,"Teste,QA"
"Preencher GUIA-RAPIDO-EVENTO.md","Adicionar URLs, códigos secretos, coordenadas, autores-chave, frase-chave. Salvar como PDF","DIA 3: Testes e Documentação",,High,"Documentação,Impressão"
"Preparar cartões-postais para impressão","Editar CARTOES-POSTAIS-TEMPLATE.html com código e URL de cada equipe. Imprimir 2 cópias/equipe","DIA 3: Testes e Documentação",,High,"Impressão,Design"
"Criar checklist pré-evento","Equipamentos, conectividade, plano offline. Documentar tudo","DIA 3: Testes e Documentação",,Medium,"Documentação,Checklist"
"Recrutar testadores (2-3 pessoas)","Convite para simular experiência do jogador. Fornecer só o código secreto","DIA 4: Simulação com Usuários",,High,"Teste,Validação"
"Executar testes com simulação","Observar como navegam, cronometrar, anotar dificuldades. Teste em 4G/WiFi, iOS/Android","DIA 4: Simulação com Usuários",,High,"Teste,QA,Validação"
"Documentar tempo de cada etapa","Portal → Equipe → Coordenada → Local → Biblioteca → Instagram → Final. Tempo total","DIA 4: Simulação com Usuários",,Medium,"Documentação,Análise"
"Preparar respostas para dúvidas comuns","Documentar como responder: qual próximo passo, não encontrou coordenadas, Instagram não abre, frase não funciona","DIA 4: Simulação com Usuários",,High,"Documentação,Suporte"
"Analisar feedback e fazer ajustes","Redesenhar dicas, melhorar layout, ajustar cores se necessário baseado no teste","DIA 4: Simulação com Usuários",,High,"Análise,Melhoria"
"Verificação final de todas as configurações","Testar todos os 6 códigos, 6 coordenadas, 3 Instagrams, frase-chave, confete","DIA 5: Preparativos Finais",,High,"Teste,QA,Checklist"
"Fazer backup offline do site","Download completo em ZIP. Testar abertura offline. Guardar em USB como plano B","DIA 5: Preparativos Finais",,High,"Backup,Segurança"
"Preparar briefing para coordenadores","Criar documento com dicas (níveis: leve/média/forte). Treinar 2 pessoas para suporte","DIA 5: Preparativos Finais",,Medium,"Documentação,Treinamento"
"Imprimir materiais finais","Cartões-postais (6 cores), guia rápido. Preparar prêmios","DIA 5: Preparativos Finais",,High,"Impressão,Logística"
"Testar internet no local do evento","Conectar celular à rede WiFi/4G, carregar todas as páginas, medir velocidade","DIA 5: Preparativos Finais",,High,"Teste,Infraestrutura"
"Briefing final com time","Explicar lore, fluxo completo, como responder dúvidas, distribuir cartões, confirmar timing","DIA 5: Preparativos Finais",,High,"Reunião,Treinamento"
"Revisão de segurança","Instagram apropriado? Frase-chave apropriada? Navegadores atualizados? Conteúdo seguro?","DIA 5: Preparativos Finais",,Medium,"Segurança,Compliance"
"Scouting dos 6 locais físicos","Visitar cada local, fotografar, anotar se tem sombra/água/banheiro. Confirmar coordenadas GPS e segurança","PREPARAÇÕES FÍSICAS (Paralelo)",,High,"Físico,Logística"
"Preparar lista de materiais a imprimir","Cartões-postais (6 cores), Guia Rápido, placares, QR codes, instruções. Orçar e confirmar impressão","PREPARAÇÕES FÍSICAS (Paralelo)",,High,"Físico,Impressão"
"Definir local e datas de impressão","Obter orçamentos, confirmar data de entrega (mínimo 1 semana antes)","PREPARAÇÕES FÍSICAS (Paralelo)",,Medium,"Físico,Logística"
"Preparar lista de prêmios e bebidas","Garrafa especial, bebidas alcoólicas, sem álcool, copos, gelo, guardanapos. Confirmar autorização legal","PREPARAÇÕES FÍSICAS (Paralelo)",,High,"Físico,Bebidas,Legal"
"Organizar transporte seguro","Definir serviço táxi/Uber, comunicar aos participantes, confirmar reembolso se necessário","PREPARAÇÕES FÍSICAS (Paralelo)",,High,"Físico,Segurança,Transporte"
"Preparar briefing visual para coordenadores","Imprimir fotos dos 6 locais, criar mapa com coordenadas, preparar sinalização opcional","PREPARAÇÕES FÍSICAS (Paralelo)",,Medium,"Físico,Documentação"
"Setup de internet e infraestrutura","Testar WiFi em 6 locais, confirmar 4G backup, power banks carregados","DIA DO EVENTO: Setup Físico",,High,"Físico,Infraestrutura"
"Preparação dos 6 pontos de partida","Visitar locais, sinalizar, deixar cartões, confirmar coordenadas GPS funcionam, fotografia","DIA DO EVENTO: Setup Físico",,High,"Físico,Logística"
"Setup da área de recepção","Montar estação com tablets/computadores, deixar cartões-postais prontos, água e lanches","DIA DO EVENTO: Setup Físico",,High,"Físico,Logística"
"Setup da área de premiação/open bar","Refrigerar bebidas, montar bar, deixar garrafa especial, bebidas sem álcool, info transporte seguro","DIA DO EVENTO: Setup Físico",,High,"Físico,Bebidas,Logística"
"Distribuir materiais para coordenadores","Guia Rápido, fotos dos locais, mapa com coordenadas, números de emergência","DIA DO EVENTO: Setup Físico",,High,"Físico,Documentação"
"Verificação final de equipamentos","Projetores, caixa som, celulares 100%, carregadores, WiFi forte, QR codes legíveis","DIA DO EVENTO: Setup Físico",,High,"Físico,Checklist"
"Briefing final com coordenadores","Explicar lore, demonstrar fluxo digital+físico, treinar respostas, timing, distribuir cartões","DIA DO EVENTO: Setup Físico",,High,"Reunião,Treinamento"
"Designar gerenciador de Instagram para cada dupla","Dupla 1: ___, Dupla 2: ___, Dupla 3: ___. Treinar respostas a DMs e posts de Stories","DIA DO EVENTO: Gerenciamento Instagram",,High,"Social,Gerenciamento,Treinamento"
"Preparar celular com acesso aos Instagram","Login testado, internet confirmada, senhas seguras mas acessíveis","DIA DO EVENTO: Gerenciamento Instagram",,High,"Social,Infraestrutura"
"Monitorar DMs em tempo real","Responder rapidamente com mensagem pré-preparada. Anotar quem pegou a pista","DIA DO EVENTO: Gerenciamento Instagram",,High,"Social,Suporte,Gamification"
"Postar Stories durante o evento","T+0h, T+30min, T+60min, T+90min, T+120min com atualizações do progresso","DIA DO EVENTO: Gerenciamento Instagram",,Medium,"Social,Marketing,Engagement"
"Monitorar comentários nos posts","Responder dúvidas, motivar equipes, manter engajamento","DIA DO EVENTO: Gerenciamento Instagram",,Medium,"Social,Suporte"
"Backup: Acesso à conta se gerenciador falhar","2 pessoas com acesso a cada Instagram. Senha de recuperação disponível","DIA DO EVENTO: Gerenciamento Instagram",,High,"Social,Segurança,Backup"
